owner_id,day_of_week,time_period,cong_level
1,0,1,0.37281826
1,0,2,0.38725948
1,0,3,0.37476626
1,0,4,0.34423763
1,0,5,0.36190882
1,0,6,0.41809136
1,0,7,0.35698897
1,0,8,0.37142915
1,0,9,0.36452153
1,0,10,0.38710463
1,0,11,0.41457015
1,0,12,0.37277597
1,0,13,0.36856568
1,0,14,0.3633979
1,0,15,0.38305348
1,0,16,0.38455677
1,0,17,0.3442137
1,0,18,0.36953577
1,0,19,0.41566768
1,0,20,0.3755992
1,0,21,0.34788585
1,0,22,0.40352914
1,0,23,0.3382308
1,0,24,0.39475542
1,1,1,0.33468685
1,1,2,0.43976903
1,1,3,0.33438087
1,1,4,0.41040477
1,1,5,0.35887557
1,1,6,0.3334727
1,1,7,0.3494616
1,1,8,0.3529737
1,1,9,0.37679356
1,1,10,0.3610479
1,1,11,0.3290618
1,1,12,0.34776482
1,1,13,0.38562462
1,1,14,0.36060798
1,1,15,0.41493395
1,1,16,0.3876494
1,1,17,0.35996053
1,1,18,0.43065974
1,1,19,0.3573091
1,1,20,0.38521874
1,1,21,0.3561523
1,1,22,0.42503148
1,1,23,0.4102227
1,1,24,0.38837305
1,2,1,0.32845464
1,2,2,0.42924145
1,2,3,0.39002
1,2,4,0.3859033
1,2,5,0.35465083
1,2,6,0.38771033
1,2,7,0.3407217
1,2,8,0.39795646
1,2,9,0.39020595
1,2,10,0.3798687
1,2,11,0.39038497
1,2,12,0.36293575
1,2,13,0.33247462
1,2,14,0.38539392
1,2,15,0.41738385
1,2,16,0.4052071
1,2,17,0.37177452
1,2,18,0.38549086
1,2,19,0.33857223
1,2,20,0.37059656
1,2,21,0.41213208
1,2,22,0.33034235
1,2,23,0.31502864
1,2,24,0.37014374
1,3,1,0.3628955
1,3,2,0.37046027
1,3,3,0.38305196
1,3,4,0.43262988
1,3,5,0.38338503
1,3,6,0.36664432
1,3,7,0.39509293
1,3,8,0.39707842
1,3,9,0.36938256
1,3,10,0.3470632
1,3,11,0.4313539
1,3,12,0.37960637
1,3,13,0.42966923
1,3,14,0.37845933
1,3,15,0.3942502
1,3,16,0.39900538
1,3,17,0.35949236
1,3,18,0.33345002
1,3,19,0.32445526
1,3,20,0.4242714
1,3,21,0.37966692
1,3,22,0.42686528
1,3,23,0.36272576
1,3,24,0.38910758
1,4,1,0.38354376
1,4,2,0.4112291
1,4,3,0.4065255
1,4,4,0.36918935
1,4,5,0.38593057
1,4,6,0.3928808
1,4,7,0.4252501
1,4,8,0.41828683
1,4,9,0.37918118
1,4,10,0.39020428
1,4,11,0.35811284
1,4,12,0.33033857
1,4,13,0.39770982
1,4,14,0.4025837
1,4,15,0.38286608
1,4,16,0.34100443
1,4,17,0.39196062
1,4,18,0.38413638
1,4,19,0.32188863
1,4,20,0.3956903
1,4,21,0.3908311
1,4,22,0.35995698
1,4,23,0.39539033
1,4,24,0.36725113
1,5,1,0.38620278
1,5,2,0.3983185
1,5,3,0.40375936
1,5,4,0.3649143
1,5,5,0.34664464
1,5,6,0.37578258
1,5,7,0.39205542
1,5,8,0.38730633
1,5,9,0.37713784
1,5,10,0.38469997
1,5,11,0.41732115
1,5,12,0.42921457
1,5,13,0.405369
1,5,14,0.38473487
1,5,15,0.35815057
1,5,16,0.3690486
1,5,17,0.35029784
1,5,18,0.3640016
1,5,19,0.3617908
1,5,20,0.35489687
1,5,21,0.3688314
1,5,22,0.3731717
1,5,23,0.40118486
1,5,24,0.36106414
1,6,1,0.4032371
1,6,2,0.37249634
1,6,3,0.30941626
1,6,4,0.41469046
1,6,5,0.39953792
1,6,6,0.39534378
1,6,7,0.41777533
1,6,8,0.42134425
1,6,9,0.36662617
1,6,10,0.3733023
1,6,11,0.38316277
1,6,12,0.41623104
1,6,13,0.41598058
1,6,14,0.35555294
1,6,15,0.35361156
1,6,16,0.38060895
1,6,17,0.41150078
1,6,18,0.37553692
1,6,19,0.351664
1,6,20,0.37758976
1,6,21,0.32671702
1,6,22,0.37635785
1,6,23,0.42215288
1,6,24,0.39272797
2,0,1,0.69237447
2,0,2,0.7131701
2,0,3,0.68779016
2,0,4,0.65082544
2,0,5,0.6448045
2,0,6,0.7345708
2,0,7,0.6574799
2,0,8,0.63870233
2,0,9,0.658507
2,0,10,0.6938439
2,0,11,0.7095329
2,0,12,0.6680687
2,0,13,0.60438454
2,0,14,0.6771558
2,0,15,0.6981799
2,0,16,0.7024989
2,0,17,0.6789533
2,0,18,0.6427498
2,0,19,0.7170389
2,0,20,0.65425247
2,0,21,0.6502386
2,0,22,0.7193132
2,0,23,0.711551
2,0,24,0.6863488
2,1,1,0.6616138
2,1,2,0.7583003
2,1,3,0.579891
2,1,4,0.7289733
2,1,5,0.6648453
2,1,6,0.6377913
2,1,7,0.66590667
2,1,8,0.64640737
2,1,9,0.6553936
2,1,10,0.6723299
2,1,11,0.6067669
2,1,12,0.65020186
2,1,13,0.6727983
2,1,14,0.63329047
2,1,15,0.696562
2,1,16,0.69925725
2,1,17,0.65732545
2,1,18,0.72431993
2,1,19,0.6784826
2,1,20,0.6809964
2,1,21,0.68712854
2,1,22,0.7309295
2,1,23,0.71651983
2,1,24,0.70446813
2,2,1,0.63992953
2,2,2,0.68863636
2,2,3,0.7188508
2,2,4,0.6577272
2,2,5,0.6521049
2,2,6,0.6669245
2,2,7,0.603859
2,2,8,0.67894155
2,2,9,0.72486365
2,2,10,0.6818407
2,2,11,0.70777935
2,2,12,0.6752652
2,2,13,0.6058894
2,2,14,0.7012065
2,2,15,0.7334035
2,2,16,0.7052457
2,2,17,0.6743211
2,2,18,0.6971851
2,2,19,0.6268317
2,2,20,0.6885748
2,2,21,0.6991881
2,2,22,0.6431422
2,2,23,0.6247254
2,2,24,0.6614113
2,3,1,0.68866897
2,3,2,0.65737164
2,3,3,0.6767454
2,3,4,0.74944025
2,3,5,0.6867332
2,3,6,0.70153016
2,3,7,0.6819485
2,3,8,0.6994984
2,3,9,0.65456325
2,3,10,0.6541585
2,3,11,0.7384362
2,3,12,0.7068204
2,3,13,0.73591846
2,3,14,0.6857084
2,3,15,0.6818302
2,3,16,0.7136729
2,3,17,0.6852951
2,3,18,0.65468585
2,3,19,0.66967434
2,3,20,0.7384357
2,3,21,0.66400397
2,3,22,0.7314568
2,3,23,0.6823406
2,3,24,0.67357165
2,4,1,0.6779249
2,4,2,0.7317192
2,4,3,0.6716738
2,4,4,0.6768031
2,4,5,0.64627033
2,4,6,0.6713293
2,4,7,0.761011
2,4,8,0.6609997
2,4,9,0.6698537
2,4,10,0.7168641
2,4,11,0.6762271
2,4,12,0.6293826
2,4,13,0.7200445
2,4,14,0.7000052
2,4,15,0.67661947
2,4,16,0.6182848
2,4,17,0.6931954
2,4,18,0.69328475
2,4,19,0.6065243
2,4,20,0.70375365
2,4,21,0.71727514
2,4,22,0.67539716
2,4,23,0.6834457
2,4,24,0.6800303
2,5,1,0.68050915
2,5,2,0.73420537
2,5,3,0.66615695
2,5,4,0.6609961
2,5,5,0.62203485
2,5,6,0.6814734
2,5,7,0.64949334
2,5,8,0.67641443
2,5,9,0.67344207
2,5,10,0.67272073
2,5,11,0.7108864
2,5,12,0.7136218
2,5,13,0.7417993
2,5,14,0.69207233
2,5,15,0.642849
2,5,16,0.6690241
2,5,17,0.64199865
2,5,18,0.66856015
2,5,19,0.6598747
2,5,20,0.6409696
2,5,21,0.68192726
2,5,22,0.6504572
2,5,23,0.698608
2,5,24,0.63905144
2,6,1,0.6985996
2,6,2,0.6635583
2,6,3,0.61051404
2,6,4,0.6892981
2,6,5,0.7173094
2,6,6,0.720996
2,6,7,0.6996246
2,6,8,0.7393306
2,6,9,0.6692447
2,6,10,0.68900585
2,6,11,0.6738084
2,6,12,0.70612305
2,6,13,0.74089277
2,6,14,0.6354229
2,6,15,0.6254268
2,6,16,0.6819169
2,6,17,0.69769716
2,6,18,0.67486835
2,6,19,0.6690178
2,6,20,0.6634583
2,6,21,0.5857977
2,6,22,0.6816073
2,6,23,0.72514814
2,6,24,0.6882507
3,0,1,0.6687474
3,0,2,0.68807787
3,0,3,0.6764116
3,0,4,0.6318183
3,0,5,0.653143
3,0,6,0.74784243
3,0,7,0.6395723
3,0,8,0.66624826
3,0,9,0.6825966
3,0,10,0.7005623
3,0,11,0.6980153
3,0,12,0.69117147
3,0,13,0.6637347
3,0,14,0.6702257
3,0,15,0.6799806
3,0,16,0.69413257
3,0,17,0.62555116
3,0,18,0.6654703
3,0,19,0.74642044
3,0,20,0.6698796
3,0,21,0.6461462
3,0,22,0.7072927
3,0,23,0.6308885
3,0,24,0.67504793
3,1,1,0.6000458
3,1,2,0.75821626
3,1,3,0.5923862
3,1,4,0.7244498
3,1,5,0.66386396
3,1,6,0.61189765
3,1,7,0.6454968
3,1,8,0.6464909
3,1,9,0.6381896
3,1,10,0.66267884
3,1,11,0.63783497
3,1,12,0.61917853
3,1,13,0.69237137
3,1,14,0.6635483
3,1,15,0.7306063
3,1,16,0.66423595
3,1,17,0.64657414
3,1,18,0.7647712
3,1,19,0.6452184
3,1,20,0.6872573
